AÑO;Ubic Técnica;Mes;Sector;  Corte;      Area;   Edad;      TC-mes;    TC-Total;     TCH;   TCHM;   Brix;Sacarosa; Pureza;Rendimient; Ton.Azucar;Ton.Azucar;Ton.Azucar (TAHM)
2020;3106-820;12.5;3106 LA LUISA;0;0;0;468.49;0.01;0;0;17.795;15.592;87.626;9.613;0;0;0.217
2020;3501-170;12.5;3501 RIOPAILA;0;0;0;655;0.01;0;0;18.403;16.292;88.531;10.556;0;0;0.746
2020;3102-040;1;3102 GERTRUDIS;4;10.79;11.9;1440.55;1440.55;133.508;11.219;18.506;16.461;88.945;10.717;154.382;14.308;1.202
2020;3102-180;1;3102 GERTRUDIS;3;13.5;11.9;1646.13;1646.13;121.936;10.247;18.861;16.573;87.901;10.722;176.492;13.073;1.099
2020;3106-460;1;3106 LA LUISA;1;19.28;11.7;2499.18;2499.18;129.626;11.079;19.565;17.48;89.367;11.406;285.048;14.785;1.264
2020;3106-891;1;3106 LA LUISA;1;7.21;11.8;719.105;719.105;99.737;8.452;18.244;16.396;89.888;10.729;77.155;10.701;0.907
2020;3106-820;1;3106 LA LUISA;5;11.08;14.3;530.79;999.27;90.188;6.307;19.34;17.289;89.388;11.284;59.894;9.47;0.662
2020;3111-120;1;3111 PERALONSO;6;13.87;12;1558.984;1558.984;112.4;9.367;18.407;16.523;89.794;10.807;168.474;12.147;1.012
2020;3111-401;1;3111 PERALONSO;8;1.76;12;250.76;250.76;142.477;11.873;18.495;16.474;89.072;10.733;26.914;15.292;1.274
2020;3111-090;1;3111 PERALONSO;2;13.35;11.9;1654.336;1654.336;123.92;10.413;18.334;16.305;88.932;10.614;175.593;13.153;1.105
2020;3111-411;1;3111 PERALONSO;5;1.82;15.1;181.975;181.975;99.986;6.622;18.493;16.614;89.853;10.871;19.783;10.87;0.72
2020;3111-250;1;3111 PERALONSO;5;5.86;12;754.544;754.544;128.762;10.73;18.587;16.572;89.165;10.801;81.5;13.908;1.159
2020;3113-051;1;3113 SAN NICOLAS;2;4.71;11.9;542.906;542.906;115.267;9.686;18.842;16.65;88.404;10.803;58.651;12.452;1.046
2020;3501-130;1;3501 RIOPAILA;9;8.47;12;1143.565;1143.565;135.014;11.251;19.558;17.404;88.987;11.333;129.602;15.301;1.275
2020;3501-170;1;3501 RIOPAILA;2;7.6;11.2;323.69;978.68;128.775;11.498;18.537;16.49;88.917;10.735;34.749;13.67;1.221
2020;3102-094;2;3102 GERTRUDIS;2;3.35;11.9;;386.358;115.334;9.692;;;;;;12.555;1.055
2020;3102-020;2;3102 GERTRUDIS;4;12.72;11.9;1321.57;1321.57;103.897;8.731;18.985;16.948;89.26;11.82;156.205;12.28;1.032
2020;3104-140;2;3104 VALPARAISO;4;14.07;11.7;1665.691;1665.691;118.386;10.118;19.713;17.571;89.125;12.245;203.968;14.497;1.239
2020;3105-431;2;3105 MORILLO;4;4.79;12;;538.502;112.424;9.369;;;;;;12.614;1.051
2020;3106-130;2;3106 LA LUISA;7;17.34;11.7;1902.38;1902.38;109.71;9.377;19.293;17.062;88.454;11.842;225.283;12.992;1.11
2020;3106-780;2;3106 LA LUISA;10;9;11.8;953.95;953.95;105.994;8.983;19.539;17.333;88.671;12.049;114.945;12.772;1.082
2020;3106-440;2;3106 LA LUISA;18;3.84;11.7;423.55;423.55;110.299;9.427;19.435;17.233;88.684;11.978;50.731;13.211;1.129
2020;3106-450;2;3106 LA LUISA;8;18.65;11.7;1003.36;2261.63;121.268;10.365;19.693;17.506;88.9;12.183;122.236;14.342;1.226
2020;3109-010;2;3109 VENECIA;4;19.7;12.2;2364.32;2364.32;120.016;9.837;19.461;17.261;88.706;11.999;283.691;14.401;1.18
2020;3109-301;2;3109 VENECIA;1;2.9;12.1;350.824;350.824;120.974;9.998;19.795;17.347;87.631;11.984;42.043;14.498;1.198
2020;3109-350;2;3109 VENECIA;1;9.79;12.1;1141.166;1141.166;116.564;9.633;18.448;16.182;87.72;11.185;127.637;13.037;1.077
2020;3109-171;2;3109 VENECIA;1;3.01;12;383.25;383.25;127.326;10.61;19.413;16.74;86.235;11.466;43.943;14.599;1.217
2020;3109-310;2;3109 VENECIA;3;15.77;11.8;1733.934;1733.934;109.951;9.318;19.163;17.046;88.955;11.867;205.767;13.048;1.106
